,rpm,wat
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,1.0
84,0.0,1.0
85,0.0,1.0
86,0.0,1.0
87,0.0,1.0
88,0.0,1.0
89,0.0,1.0
90,0.0,1.0
91,0.0,1.0
92,0.0,1.0
93,0.0,1.0
94,0.0,1.0
95,0.0,1.0
96,0.0,1.0
97,0.0,1.0
98,0.0,1.0
99,0.0,1.0
100,0.0,1.0
101,0.0,1.0
102,0.0,1.0
103,0.0,1.0
104,0.0,1.0
105,0.0,1.0
106,0.0,1.0
107,0.0,1.0
108,0.0,1.0
109,0.0,1.0
110,0.0,1.0
111,0.0,1.0
112,0.0,1.0
113,0.0,1.0
114,0.0,1.0
115,0.0,1.0
116,0.0,1.0
117,0.0,1.0
118,0.0,1.0
119,0.0,1.0
120,0.0,1.0
121,0.0,1.0
122,0.0,1.0
123,0.0,1.0
124,0.0,1.0
125,0.0,1.0
126,0.0,1.0
127,0.0,1.0
128,0.0,1.0
129,0.0,1.0
130,0.0,1.0
131,2.0,201.0
132,2.0,201.0
133,2.0,201.0
134,2.0,201.0
135,2.0,201.0
136,2.0,201.0
137,2.0,201.0
138,2.0,201.0
139,2.0,201.0
140,2.0,201.0
141,2.0,201.0
142,2.0,201.0
143,2.0,201.0
144,2.0,201.0
145,2.0,201.0
146,2.0,201.0
147,2.0,201.0
148,2.0,201.0
149,2.0,201.0
150,2.0,201.0
151,2.0,201.0
152,2.0,201.0
153,2.0,201.0
154,2.0,201.0
155,2.0,201.0
156,2.0,201.0
157,2.0,201.0
158,2.0,201.0
159,2.0,201.0
160,2.0,201.0
161,2.0,201.0
162,2.0,201.0
163,2.0,201.0
164,2.0,201.0
165,2.0,201.0
166,2.0,201.0
167,2.0,201.0
168,2.0,201.0
169,2.0,201.0
170,2.0,201.0
171,2.0,201.0
172,2.0,201.0
173,2.0,201.0
174,2.0,201.0
175,2.0,201.0
176,2.0,201.0
177,2.0,201.0
178,2.0,201.0
179,2.0,201.0
180,2.0,201.0
181,2.0,201.0
182,2.0,201.0
183,2.0,201.0
184,2.0,201.0
185,2.0,201.0
186,2.0,201.0
187,2.0,201.0
188,2.0,201.0
189,2.0,201.0
190,2.0,201.0
191,81.0,177.0
192,81.0,177.0
193,81.0,177.0
194,81.0,177.0
195,81.0,177.0
196,81.0,177.0
197,81.0,177.0
198,81.0,177.0
199,81.0,177.0
200,81.0,177.0
201,81.0,177.0
202,81.0,177.0
203,81.0,177.0
204,81.0,177.0
205,81.0,177.0
206,81.0,177.0
207,81.0,177.0
208,81.0,177.0
209,81.0,177.0
210,81.0,177.0
211,81.0,177.0
212,81.0,177.0
213,81.0,177.0
214,81.0,177.0
215,81.0,177.0
216,81.0,177.0
217,81.0,177.0
218,81.0,177.0
219,81.0,177.0
220,81.0,177.0
221,81.0,177.0
222,81.0,177.0
223,81.0,177.0
224,81.0,177.0
225,81.0,177.0
226,81.0,177.0
227,81.0,177.0
228,81.0,177.0
229,81.0,177.0
230,81.0,177.0
231,81.0,177.0
232,81.0,177.0
233,81.0,177.0
234,81.0,177.0
235,81.0,177.0
236,81.0,177.0
237,81.0,177.0
238,81.0,177.0
239,81.0,177.0
240,81.0,177.0
241,81.0,177.0
242,81.0,177.0
243,81.0,177.0
244,81.0,177.0
245,81.0,177.0
246,81.0,177.0
247,81.0,177.0
248,81.0,177.0
249,81.0,177.0
250,81.0,177.0
251,82.0,214.0
252,82.0,214.0
253,82.0,214.0
254,82.0,214.0
255,82.0,214.0
256,82.0,214.0
257,82.0,214.0
258,82.0,214.0
259,82.0,214.0
260,82.0,214.0
261,82.0,214.0
262,82.0,214.0
263,82.0,214.0
264,82.0,214.0
265,82.0,214.0
266,82.0,214.0
267,82.0,214.0
268,82.0,214.0
269,82.0,214.0
270,82.0,214.0
271,82.0,214.0
272,82.0,214.0
273,82.0,214.0
274,82.0,214.0
275,82.0,214.0
276,82.0,214.0
277,82.0,214.0
278,82.0,214.0
279,82.0,214.0
280,82.0,214.0
281,82.0,214.0
282,82.0,214.0
283,82.0,214.0
284,82.0,214.0
285,82.0,214.0
286,82.0,214.0
287,82.0,214.0
288,82.0,214.0
289,82.0,214.0
290,82.0,214.0
291,82.0,214.0
292,82.0,214.0
293,82.0,214.0
294,82.0,214.0
295,82.0,214.0
296,82.0,214.0
297,82.0,214.0
298,82.0,214.0
299,82.0,214.0
300,82.0,214.0
301,82.0,214.0
302,82.0,214.0
303,82.0,214.0
304,82.0,214.0
305,82.0,214.0
306,82.0,214.0
307,82.0,214.0
308,82.0,214.0
309,82.0,214.0
310,82.0,214.0
311,84.0,459.0
312,84.0,459.0
313,84.0,459.0
314,84.0,459.0
315,84.0,459.0
316,84.0,459.0
317,84.0,459.0
318,84.0,459.0
319,84.0,459.0
320,84.0,459.0
321,84.0,459.0
322,84.0,459.0
323,84.0,459.0
324,84.0,459.0
325,84.0,459.0
326,84.0,459.0
327,84.0,459.0
328,84.0,459.0
329,84.0,459.0
330,84.0,459.0
331,84.0,459.0
332,84.0,459.0
333,84.0,459.0
334,84.0,459.0
335,84.0,459.0
336,84.0,459.0
337,84.0,459.0
338,84.0,459.0
339,84.0,459.0
340,84.0,459.0
341,84.0,459.0
342,84.0,459.0
343,84.0,459.0
344,84.0,459.0
345,84.0,459.0
346,84.0,459.0
347,84.0,459.0
348,84.0,459.0
349,84.0,459.0
350,84.0,459.0
351,84.0,459.0
352,84.0,459.0
353,84.0,459.0
354,84.0,459.0
355,84.0,459.0
356,84.0,459.0
357,84.0,459.0
358,84.0,459.0
359,84.0,459.0
360,84.0,459.0
361,84.0,459.0
362,84.0,459.0
363,84.0,459.0
364,84.0,459.0
365,84.0,459.0
366,84.0,459.0
367,84.0,459.0
368,84.0,459.0
369,84.0,459.0
370,84.0,459.0
371,97.0,492.0
372,97.0,492.0
373,97.0,492.0
374,97.0,492.0
375,97.0,492.0
376,97.0,492.0
377,97.0,492.0
378,97.0,492.0
379,97.0,492.0
380,97.0,492.0
381,97.0,492.0
382,97.0,492.0
383,97.0,492.0
384,97.0,492.0
385,97.0,492.0
386,97.0,492.0
387,97.0,492.0
388,97.0,492.0
389,97.0,492.0
390,97.0,492.0
391,97.0,492.0
392,97.0,492.0
393,97.0,492.0
394,97.0,492.0
395,97.0,492.0
396,97.0,492.0
397,97.0,492.0
398,97.0,492.0
399,97.0,492.0
400,97.0,492.0
401,97.0,492.0
402,97.0,492.0
403,97.0,492.0
404,97.0,492.0
405,97.0,492.0
406,97.0,492.0
407,97.0,492.0
408,97.0,492.0
409,97.0,492.0
410,97.0,492.0
411,97.0,492.0
412,97.0,492.0
413,97.0,492.0
414,97.0,492.0
415,97.0,492.0
416,97.0,492.0
417,97.0,492.0
418,97.0,492.0
419,97.0,492.0
420,97.0,492.0
421,97.0,492.0
422,97.0,492.0
423,97.0,492.0
424,97.0,492.0
425,97.0,492.0
426,97.0,492.0
